project_name,oneliner,git_namespace,git_url,platform,topics,rubric,last_commit_date,stargazers_count,number_of_dependents,stars_last_year,project_active,dominating_language,organization,organization_user_name,languages,homepage,readme_content,refs,project_created,project_age_in_days,license,total_commits_last_year,total_number_of_commits,last_issue_closed,open_issues,closed_pullrequests,closed_issues,issues_closed_last_year,days_until_last_issue_closed,open_pullrequests,reviews_per_pr,development_distribution_score,last_released_date,last_release_tag_name,good_first_issue,contributors,accepts_donations,donation_platforms,code_of_conduct,contribution_guide,dependents_repos,organization_name,organization_github_url,organization_website,organization_location,organization_country,organization_form,organization_avatar,organization_public_repos,organization_created,organization_last_update
Photovoltaic_Fault_Detector,Model-definition is a deep learning application for fault detection in photovoltaic plants.,,https://github.com/RentadroneCL/Photovoltaic_Fault_Detector,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nasapower,"Aims to make it quick and easy to automate downloading NASA-POWER global meteorology, surface solar energy and climatology data in your R session as a tidy data frame tibble object for analysis and use in modeling or other purposes.",,https://github.com/ropensci/nasapower,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pvcompare,A model for comparing the benefits of different PV technologies in a specified local energy system in different energy supply scenarios.,,https://github.com/greco-project/pvcompare,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolTrace,A software tool developed at NREL to model concentrating solar power (CSP) systems and analyze their optical performance.,,https://github.com/NREL/SolTrace,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CarrierCapture.jl,A set of codes to compute carrier capture and recombination rates in semiconducting compounds like solar cells.,,https://github.com/WMD-group/CarrierCapture.jl,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
honeybee,"A Python library to create, run and visualize the results of daylight (RADIANCE) and energy analysis (EnergyPlus/OpenStudio).",,https://github.com/ladybug-tools/honeybee,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPPT-Solar-Charger,Supporting documentation and software for the MPPT Solar Charger.,,https://github.com/danjulio/MPPT-Solar-Charger,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonatiuh,A Monte Carlo ray tracer for the optical simulation of solar concentrating systems.,,https://github.com/iat-cener/tonatiuh,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV4GER,Aims at democratizing and accelerating the access to photovoltaic systems data in Germany and beyond.,,https://github.com/kdmayer/3D-PV-Locator,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV Free,A public API for PV modeling parameters.,,https://github.com/BreakingBytes/pvfree,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pysolar,A collection of Python libraries for simulating the irradiation of any point on earth by the sun. It includes code for extremely precise ephemeris calculations.,,https://github.com/pingswept/pysolar,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV_ICE,"An open-source tool to quantify Solar Photovoltaics (PV) Energy and Mass Flows in the Circular Economy, from a Reliability and Lifetime approach.",,https://github.com/NREL/PV_ICE,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar electricity Nowcasting,Build the world's best near-term forecasting system for solar electricity generation.,,https://github.com/openclimatefix/nowcasting,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar Forecast Arbiter,"Core data gathering, validation, processing, and reporting package for the Solar Forecast Arbiter.",,https://github.com/SolarArbiter/solarforecastarbiter-core,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv-system-profiler,Estimating PV array location and orientation from real-world power datasets.,,https://github.com/slacgismo/pv-system-profiler,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A Global Inventory of Commercial-, Industrial-, and Utility-Scale Photovoltaic Solar Generating Units",Used to produce a global inventory of utility-scale solar photovoltaic generating station.,,https://github.com/Lkruitwagen/solar-pv-global-inventory,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dGen,"Forecast PV adoption based on user specified configurations like electricity rate prices, electricity load growth, solar resource factors, and much more.",,https://github.com/NREL/dgen,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOLECTRUS,An alternative photovoltaic dashboard that visualizes the yield and consumption.,,https://github.com/solectrus/solectrus,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pvdeg,Set of tools to calculate degradation responses and degradation related parameters for PV.,,https://github.com/NREL/PVDegradationTools,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solarthing,An application that can monitor data from a variety of solar charge controllers and inverters.,,https://github.com/wildmountainfarms/solarthing,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solXpect,Android app to forecast the output of your photovoltaic system (PV) or balcony pv using data from Open-Meteo.com.,,https://github.com/woheller69/solxpect,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar Stations,A catalog of high-quality solar radiation monitoring stations.,,https://github.com/AssessingSolar/solarstations,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTSun,A python package that uses the Monte Carlo Forward Ray Tracing for the optical analysis of Solar Thermal Collectors and Solar Cells.,,https://github.com/bielcardona/OTSun,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pvOps,Contains a series of functions to facilitate fusion of text-based data with time series production data collected at photovoltaic sites.,,https://github.com/sandialabs/pvOps,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSP.guru,An open-source database of concentrating solar power plants of the world for energy modellers and analysts.,,https://github.com/repolicy/csp-guru,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quartz Solar Forecast,The aim of the project is to build an open source PV forecast that is free and easy to use.,,https://github.com/openclimatefix/Open-Source-Quartz-Solar-Forecast,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Zero Citizens," Through this web and mobile applications, users in Mexico can effortlessly connect with solar panel installers and photovoltaic panel sellers, making the switch to solar energy seamless and straightforward.",,https://github.com/Iniciativa-Climatica-Mexico/Net-Zero-Citizens,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenPV,A website to simulate shading and annual PV yield based on 3D building data in the browser.,,https://github.com/open-pv/website,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenDTU,"An alternative open source software for communicating with Hoymiles solar inverters, which synchronises everything with the s-Miles cloud.",,https://github.com/tbnobody/OpenDTU,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SimShady,Simulating Shadows for PV Potential Analysis on 3D Data in the Browser.,,https://github.com/open-pv/simshady,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InSPIRE,"Here we will collect scripts, trainings, studies, and any other open-source material that can help further the understanding and research of agrivoltaics.",,https://github.com/NREL/InSPIRE,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
twoaxistracking,"A python package for simulating two-axis tracking solar collectors, particularly self-shading.",,https://github.com/pvlib/twoaxistracking,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huawei_solar,This integration exposes the information and functions made available by Huawei Solar inverters directly via one of its Modbus interfaces in Home Assistant.,,https://github.com/wlcrs/huawei_solar,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunsynk-Power-Flow-Card,A customizable Home Assistant card to emulate the Sunsynk System flow that's displayed on the Inverter screen.,,https://github.com/slipx06/sunsynk-power-flow-card,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solarman integration,Home Assistant component for interacting with Solarman data collectors used with a variety of inverters.,,https://github.com/StephanJoubert/home_assistant_solarman,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SunPeek,"Implements a dynamic, in situ test methodology for large solar thermal plants.",,https://gitlab.com/sunpeek/sunpeek,gitlab.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SkyGPT,A physics-constrained stochastic sky video prediction model for probabilistic short-term solar forecasting.,,https://github.com/yuhao-nie/SkyGPT,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSWE,"An R implementation of various data science methods for wind energy (DSWE) applications, such as providing machine learning methods to accurately estimate the wind power curve.",,https://github.com/TAMU-AML/DSWE-Package,github.com,,Wind Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IEA-15-240-RWT,A 15 MW reference wind turbine repository developed in conjunction with IEA Wind.,,https://github.com/IEAWindTask37/IEA-15-240-RWT,github.com,,Wind Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
windpowerlib,A library to model the output of wind turbines and farms.,,https://github.com/wind-python/windpowerlib,github.com,,Wind Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
turbinesFoam,A library for simulating wind and marine hydrokinetic turbines in OpenFOAM using the actuator line method.,,https://github.com/turbinesFoam/turbinesFoam,github.com,,Wind Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nalu-wind,Solver for wind farm simulations targeting exascale computational platforms.,,https://github.com/Exawind/nalu-wind,github.com,,Wind Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openfast,"A multi-physics, multi-fidelity tool for simulating the coupled dynamic response of wind turbines and wind farms.",,https://github.com/OpenFAST/openfast,github.com,,Wind Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amr-wind,"A massively parallel, block-structured adaptive-mesh, incompressible flow solver for wind turbine and wind farm simulations.",,https://github.com/Exawind/amr-wind,github.com,,Wind Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenOA,"This library provides a framework for working with large time series data from wind plants, such as SCADA.",,https://github.com/NREL/OpenOA,github.com,,Wind Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSCO,NREL's Reference OpenSource Controller for wind turbine applications.,,https://github.com/NREL/ROSCO,github.com,,Wind Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
floris,A controls-oriented engineering wake modeling framework for evaluating the impact of wind farm controls on AEP and wind farm design.,,https://github.com/NREL/floris,github.com,,Wind Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PyWake,An AEP calculator for wind farms implemented in Python including a collection of wake models.,,https://gitlab.windenergy.dtu.dk/TOPFARM/PyWake,gitlab.windenergy.dtu.dk,,Wind Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WISDEM,Wind Plant Integrated System Design and Engineering Model.,,https://github.com/WISDEM/WISDEM,github.com,,Wind Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOMBAT,Windfarm Operations & Maintenance cost-Benefit Analysis Tool.,,https://github.com/WISDEM/WOMBAT,github.com,,Wind Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LandBOSSE,"The Land-based Balance-of-System Systems Engineering model is a systems engineering tool that estimates the balance-of-system costs associated with installing utility scale wind plants (10, 1.5 MW turbines or larger).",,https://github.com/WISDEM/LandBOSSE,github.com,,Wind Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TopFarm2,A Python package developed by DTU Wind Energy to help with wind-farm optimizations.,,https://gitlab.windenergy.dtu.dk/TOPFARM/TopFarm2,gitlab.windenergy.dtu.dk,,Wind Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BasicDTUController,"The scope of this project is to provide an open source, open access controller that can be used by the wind energy community as a reference.",,https://gitlab.windenergy.dtu.dk/OpenLAC/BasicDTUController,gitlab.windenergy.dtu.dk,,Wind Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WindEnergyToolbox,"A collection of Python scripts that facilitate working with (potentially a lot) of HAWC2,HAWCStab2, FAST or other text input based simulation tools.",,https://gitlab.windenergy.dtu.dk/toolbox/WindEnergyToolbox,gitlab.windenergy.dtu.dk,,Wind Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
windfarmGA,Genetic algorithm to optimize the layout of wind farms.,,https://github.com/YsoSirius/windfarmGA,github.com,,Wind Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wtphm,"The Wind Turbine Prognostics and Health Management library processes wind turbine events data, as well as operational SCADA data for easier fault detection, prognostics or reliability research.",,https://github.com/lkev/wtphm,github.com,,Wind Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AirfoilPreppy,"A Python module for pre-processing and evaluating aerodynamic airfoil data, primarily for wind turbine applications.",,https://github.com/WISDEM/AirfoilPreppy,github.com,,Wind Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Draco,A collection of end-to-end solutions for machine learning problems commonly found in monitoring wind energy production system.,,https://github.com/sintel-dev/Draco,github.com,,Wind Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyconturb,Constrained Stochastic Turbulence for Wind Energy Applications.,,https://gitlab.windenergy.dtu.dk/pyconturb/pyconturb,gitlab.windenergy.dtu.dk,,Wind Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORBIT,Offshore Renewable Balance-of-system Installation Tool computes capital costs and activity times for offshore wind plant balance-of-system (everything besides the turbine) costs.,,https://github.com/WISDEM/ORBIT,github.com,,Wind Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WindTurbineClassification,Specification of 'normal' wind turbine operating behaviour for rapid anomaly detection.,,https://github.com/nmstreethran/WindTurbineClassification,github.com,,Wind Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANYstructure,Offshore Steel structure calculation tool with automatic optimization and report generation.,,https://github.com/audunarn/ANYstructure,github.com,,Wind Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHARPy,Simulation of High Aspect Ratio aeroplanes and wind turbines in Python.,,https://github.com/ImperialCollegeLondon/sharpy,github.com,,Wind Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WindSE,A Python package that uses a FEniCS backend to perform wind farm simulations and optimization.,,https://github.com/NREL/WindSE,github.com,,Wind Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEIS,WEIS is a framework that combines multiple tools to enable design optimization of floating offshore wind turbines.,,https://github.com/WISDEM/WEIS,github.com,,Wind Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyNuMAD,"An object-oriented, open-source software written in Python which facilitates the creation and analysis of three-dimensional models of wind turbine blades.",,https://github.com/sandialabs/pyNuMAD,github.com,,Wind Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAMS,An open-source computer program for the analysis of wave diffraction and radiation of three-dimensional floating or submerged structures.,,https://github.com/YingyiLiu/HAMS,github.com,,Wind Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brightwind,A Python library aims to empower wind resource analysts and establish a common industry standard toolset.,,https://github.com/brightwind-dev/brightwind,github.com,,Wind Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRWAL,A library of offshore wind cost equations.,,https://github.com/NREL/NRWAL,github.com,,Wind Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
welib,"Wind energy library, python and matlab tools for wind turbines analyses.",,https://github.com/ebranlard/welib,github.com,,Wind Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
digital_wra_data_standard,This standard data model and associated tools are intended as universal building blocks for Wind Energy Resource Assessment applications.,,https://github.com/IEA-Task-43/digital_wra_data_standard,github.com,,Wind Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
awebox,Modelling and optimal control of single- and multiple-kite systems for airborne wind energy.,,https://github.com/awebox/awebox,github.com,,Wind Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCBlade.jl,A blade element momentum method for propellers and turbines.,,https://github.com/byuflowlab/CCBlade.jl,github.com,,Wind Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
